# AC ID|contract document|crate|test target|test selectors (semicolon-separated)
AC-001|AC-001-ordinary-chat-isolation.md|project-app|lib|knowledge_plus_ordinary_chat_classifier_can_return_ordinary_chat;ordinary_chat_uses_conversational_session_without_knowledge_context;post_attachment_knowledge_then_ordinary_chat_does_not_carry_materials
AC-002|AC-002-semantic-authority.md|project-app|lib|knowledge_turn_invokes_the_semantic_classifier_once_and_it_controls_intent;trusted_normal_semantic_is_not_reinterpreted_as_exhaustive_or_k6
AC-003|AC-003-exclusive-fallback.md|project-app|lib|classifier_failure_falls_back_to_deterministic_routing;low_confidence_uses_exclusive_fallback_once
AC-004|AC-004-single-route-binding.md|project-app|lib|dispatch_message_run_binds_and_applies_a_missing_route_before_dispatch;followup_binding_has_a_single_authoritative_owner_on_the_route;retrieval_preparation_follows_the_normalized_route_not_prompt_wording
AC-005|AC-005-ephemeral-knowledge-evidence.md|project-agent|agent_service|knowledge_synthesis_opens_ephemeral_sessions_ordinary_chat_reuses_conversation
AC-006|AC-006-bounded-continuity.md|project-app|lib|omits_the_current_user_turn_and_keeps_the_prior_pair;keeps_at_most_four_visible_messages_in_order;utf8_truncation_does_not_split_scalar_values;omits_internal_prompts_chunks_and_scratch_bodies
AC-007|AC-007-scratch-isolation.md|project-app|lib|classifier_session_is_separate_and_receives_no_document_bodies;compact_per_item_production_seam_one_ready_material;k6_selected_per_source_production_seam_one_ready_material
AC-008|AC-008-evidence-grounding.md|project-app|exhaustive_rag|b_multi_source_semantic_keeps_identifiable_sources
AC-009|AC-009-exhaustive-negative-truth.md|project-app|exhaustive_rag|e_exhaustive_incomplete_must_not_claim_global_absence
AC-010|AC-010-material-scope-precedence.md|project-app|lib|per_source_fresh_attachments_win_over_prior_material_set;per_source_reuses_compatible_prior_material_set;per_source_spanish_and_french_bind_the_active_import_set_identically
AC-011|AC-011-creation-session-boundary.md|project-agent|agent_service|creation_serialized_evidence_rotates_cached_session_before_ordinary_chat
AC-012|AC-012-provider-call-bound.md|project-app|exhaustive_rag|j_exhaustive_negative_does_not_issue_per_document_remote_calls
AC-013|AC-013-corpus-privacy.md|project-app|exhaustive_rag|h_privacy_metrics_and_logs_omit_bodies_paths_and_secrets
AC-014|AC-014-project-knowledge-isolation.md|project-app|knowledge|knowledge_is_project_local_and_isolated
